funlo_seg_desc,EMAIL_THEME,DEPARTMENT,Unique Guids,Unique Households,THEME_SENT,THEME_OPEN,THEME_CLICK,THEME_UNSUBSCRIBE,theme_open_rate,theme_click_rate,DEPT_SENT,DEPT_OPEN,DEPT_CLICK,DEPT_UNSUBSCRIBE,dept_open_rate,dept_click_rate
Unreliable Pattern,Brand Savings,Adult Beverage,1727332,1610204,39972253,17587594,801341,12442,0.4399950635757259,0.020047431401977768,208074385,110770953,7394198,81090,0.532362275154628,0.03553632034043979
Unreliable Pattern,Weekly Specials,HBC,2878297,2605736,7091067279,2879266858,188724797,2301104,0.40604139612761386,0.026614441744038063,2591633763,834211973,49178541,2327328,0.3218865199665945,0.018975883746425788
Unreliable Pattern,Sale - Fuel,HBC,1924333,1805413,87184683,39259545,2997338,66236,0.4503032373243819,0.034379181031145116,12450170,5720833,121147,3562,0.4594983843594104,0.00973054986397776
Moderate Non-Loyal,Weekly Specials,Gift Cards,1931185,1728071,4366631019,1854705087,152446694,1347289,0.42474509042093167,0.034911741646289074,3987840347,1705355807,113500976,2540935,0.42763893702086564,0.028461765297446096
Narrow Consumption,Sale - Price & Item, Fresh,1331577,1197302,40750102,20668670,1158758,10667,0.5072053561976361,0.028435707964608283,201277341,95991954,11567178,89500,0.4769138618539282,0.0574688533867307
Top Loyal,Services,Gift Cards,3253960,2742582,1504274700,577860804,43810899,416965,0.38414579730683496,0.029124267662016784,4672996076,2074593705,215496713,1986565,0.4439536586933783,0.04611532076963807
Narrow Consumption,Sale - Price & Item,Grocery,1513883,1332475,1053852861,503799958,29005230,375488,0.4780553117462192,0.027523035779849728,1135719746,534814476,43603650,430563,0.470903563914966,0.038392966357740865
Top Loyal,Seasonal,Gift Cards,3305951,2797673,2149264544,950792277,33193993,617333,0.4423802922047366,0.015444349599804313,4808671779,2083731199,213353723,2196369,0.43332780750391076,0.0443685351809078
New: Predicted Loyal,Services,General Merchandise,129221,119939,36964780,13981508,951110,30506,0.37823863688624687,0.025730168013985203,42565407,17683143,1269915,31735,0.41543460397312776,0.029834438091946355
New: Predicted Opportunity,Diigital Coupons,Fresh,15816,15114,322701,141018,11134,242,0.43699275800198945,0.034502527107136326,78605,34629,1340,34,0.4405444946250239,0.017047261624578588
Narrow Consumption,Ecommerce,No Department,1491058,1308636,874926399,329695791,24654665,766406,0.37682688666935515,0.02817913029962192,1282785013,560125487,44115487,339221,0.43664798179240966,0.03439039788657088
Unreliable Pattern,Sale - Threshold Offer,Produce,2561957,2368562,48180439,22966414,499434,15993,0.47667506724046244,0.010365908039982783,268136889,121032790,7342150,165362,0.451384330038975,0.02738209586671232
Narrow Consumption,Best Customer ,Multi Department,1495766,1315982,33411161,14530036,2082319,29645,0.4348856958308034,0.06232405392916457,88617542,40680952,4917231,22793,0.4590620669663801,0.05548823504944427
Top Loyal,Sale - Threshold Offer,Fuel,3209327,2739761,263895086,140098986,6385018,53749,0.5308889533471647,0.024195289487125956,515704425,218654930,31169232,268937,0.42399273576138113,0.06044010966165357
Unreliable Pattern,Sale - Price & Item,Pharmacy,2720716,2495671,563362850,262798867,9078362,183719,0.46648242247425437,0.016114591155593595,1725488161,660873241,34305294,1099134,0.3830065345780138,0.019881500653193992
Unreliable Pattern,Seasonal,Gift Cards,2721690,2494759,1762806449,691864541,12022291,646138,0.39247901628251874,0.006819972213523482,5709805405,2408613108,133854666,3330789,0.4218380377535826,0.023442947089367575
Narrow Consumption,Savings - Fuel Points,HBC,1135122,1026145,53113010,24462231,3560803,41009,0.4605694725265994,0.06704201098751511,7584774,3543838,133521,1909,0.46723053317079716,0.017603820496167717
New: Predicted Opportunity,Services,Gift Cards,75526,71533,7726804,2915712,173938,3911,0.37735032492088577,0.022510989019522174,58280509,26220095,1484993,39518,0.44989474954654224,0.02548009661343212
New: Predicted Opportunity,Sale - Threshold Offer,Fresh,93258,89015,23077645,9638949,313996,17311,0.4176747237423923,0.013606067690182426,26560285,10775369,415886,20983,0.4056947807600709,0.01565819041474894
New: Predicted Loyal,Diigital Coupons,Grocery,24122,22042,490285,230137,33373,248,0.4693943318681991,0.06806857236097372,176519,86478,8441,26,0.489907602014514,0.047819214928704556
Narrow Consumption,Ecommerce,HBC,1457085,1285487,713631196,290179662,19987033,506578,0.4066241268970534,0.028007510198587226,818344874,284953133,23725629,441751,0.3482066571849755,0.028992213128960102
Top Loyal,Diigital Coupons,HBC,2499948,2219058,53423520,28302606,4556833,27254,0.5297780078886603,0.08529638256707907,11917400,6235814,334270,1704,0.5232528907311997,0.028048903284273414
New: Predicted Non-Loyal,Best Customer ,No Department,1495260,1450719,29491902,11199318,378272,27976,0.37974214074087187,0.012826300589226155,3643719,1284871,39771,3384,0.35262625905016276,0.010914947063700576
Bottom Non-Loyal,Sale - Price & Item,Fuel,5359632,5053145,283854607,122429629,2807274,128847,0.4313110514355682,0.009889830676590005,1120440425,440785317,14040092,801714,0.3934036180460019,0.012530868832227291
Top Loyal,Seasonal,Fresh,3322340,2807128,2548957069,1131485346,41114589,854925,0.44390129585191535,0.016129965270905863,2600865336,1197315450,69401414,773354,0.4603527270048556,0.026683970538334708
Moderate Loyal,Sale - Price & Item, Fresh,2139971,1936673,64779023,33454604,1676686,16055,0.5164419352233824,0.02588316282571906,325830872,155881243,16435194,139716,0.47841152080886923,0.050440874123186215
Moderate Loyal,Digital Coupons,Fresh,2431880,2148061,3527367679,1962659966,227615099,867535,0.5564092390154262,0.06452831678282211,1915358469,839635103,42985720,783501,0.4383696924567701,0.022442650133498325
Moderate Loyal,Ecommerce,Multi Department,2522854,2206352,1498642578,570610362,40148688,1403235,0.3807514682797168,0.026790035589126307,12760847526,6153099376,632012277,3074476,0.48218579239844134,0.049527453071771775
Narrow Consumption,Sale - Digital Coupon,Multi Department,1290288,1162415,149383127,71972834,10415948,109121,0.48180029060444024,0.06972640223283048,458404547,236451109,27546961,83884,0.5158131841131148,0.06009312337820244
Unreliable Pattern,Sale - Prie,Grocery,2179358,2045212,41212796,18888810,1557126,23748,0.45832391473754897,0.03778258577748522,11080834,5454909,203807,2367,0.4922832523255921,0.018392749137835653
New: Predicted Opportunity,Seasonal,Gift Cards,96462,91996,21549694,8746789,184642,12240,0.40588924371733537,0.008568195910345642,78946354,33249211,1771797,62279,0.4211620843186754,0.022443050378235328
New: Predicted Non-Loyal,Savings - Fuel Points,No Department,1660082,1611459,57916672,22429960,803513,56553,0.38727984922890596,0.01387360447782635,7398396,2565215,87742,7332,0.34672583084225284,0.01185959767495549
Top Loyal,Weekly Specials, Fresh,3283948,2770297,420729057,191472030,27198909,83816,0.45509580765656504,0.06464708949256148,475557965,229785524,31004225,205071,0.48319141074632194,0.06519546991500816
New: Predicted Non-Loyal,Sale - Threshold Offer,Adult Beverage,900361,875595,10729415,5040733,54764,4895,0.46980501732853097,0.0051040993381279405,88268010,38524514,860206,45947,0.4364493319833539,0.009745387938393536
New: Predicted Opportunity,Sale - Fuel Points,Grocery,86928,82936,42976532,18431889,1103591,49616,0.4288826515829616,0.02567892169614803,19014417,8637591,492856,9318,0.4542653608575009,0.025920121558289166
Bottom Non-Loyal,Brand Savings,General Merchandise,5419652,5098217,4096500836,1278221451,44905735,3800654,0.3120276309398024,0.010961973840056113,3327237056,1422213341,43237419,2523721,0.42744575065227935,0.012994992022594257
New: Predicted Loyal,Sale - Fuel Points,General Merchandise,125448,116821,48358608,20007182,1762293,48108,0.4137253495799548,0.03644217798824979,29532735,12986691,981005,17968,0.43973885249706807,0.033217546563161185
Bottom Non-Loyal,Sale - Price & Item,Multi Department,5783824,5393216,3750086854,1418613349,39937246,3596526,0.37828813151003354,0.010649685608588307,25707253184,10642931990,330813638,11006562,0.41400502472290895,0.012868494180696672
Moderate Loyal,Sale - Fuel,HBC,1871620,1711777,86739299,41432892,5118710,55387,0.4776715108108033,0.05901258205925782,14263708,6983213,244156,3245,0.4895790771936722,0.01711728815536605
Narrow Consumption,Brand Savings,Produce,1173693,1032921,21320432,10484722,785989,5107,0.4917687408960569,0.03686552880354394,124179640,66980305,8355184,55920,0.5393823415819211,0.06728304253418677
Narrow Consumption,Digital Coupons,Adult Beverage,1350873,1214395,87275216,50273743,6614870,14421,0.5760368785566798,0.07579322404656094,170955689,82811567,10001016,65396,0.48440369246793535,0.058500632874522236
Bottom Non-Loyal,Holiday,Pharmacy,5202150,4918086,738699820,272823502,3458916,320330,0.36932931972286115,0.0046824378541205,2968032329,1074506699,32682198,1975476,0.36202661558003535,0.011011402295274662
Bottom Non-Loyal,Sale - Threshold Offer,Multi Department,5780102,5390111,3846243757,1466274598,35770632,3852123,0.38122248371061834,0.009300146912139661,25706655510,10642741219,330797968,10997530,0.4140072291730026,0.012868183800546055
New: Predicted Non-Loyal,Diigital Coupons,HBC,288729,281370,5922096,2709587,90114,4557,0.4575385133912047,0.01521657197046451,608771,257386,3421,208,0.4227960924551268,0.00561951866958183
Narrow Consumption,Sale - Prie,Multi Department,1378021,1234889,26347047,12537244,1792944,18728,0.47585006395593404,0.06805104192511593,78679721,39430677,4723663,13776,0.5011542554910686,0.06003660079069167
New: Predicted Non-Loyal,Weekly Specials,Produce,3636605,3504908,245165307,94764578,2298921,172337,0.38653339316072155,0.009377024131721867,232364217,91239740,2375470,216650,0.3926583067650214,0.010223045659392556
Bottom Non-Loyal,Sale - Price & Item,Adult Beverage,4399502,4216671,113614657,51148855,979215,35605,0.4501959197042684,0.008618738337607268,522946515,230222592,7903187,257308,0.4402411822172675,0.015112801736521755
New: Predicted Loyal,Sale - Digital Coupon,General Merchandise,23203,21499,2685372,1246116,163361,2444,0.4640385019282245,0.06083365731079344,547921,222507,8117,186,0.40609321416773586,0.014814179416375719
New: Predicted Loyal,Savings - Fuel Points,Gift Cards,8344,7367,401644,204555,41968,210,0.5092943004252523,0.10449054386471601,71984,33952,3871,6,0.4716603689708824,0.05377583907535008
Bottom Non-Loyal,Sale - Fuel Points,Fuel,4480906,4265111,89147451,32578269,1258531,67183,0.36544251837329594,0.014117408696295759,693163585,287688949,9320858,366040,0.4150375975102616,0.013446837372450834
New: Predicted Opportunity,Best Customer ,HBC,10375,9899,211365,95605,10740,181,0.4523218129775507,0.05081257540273934,23575,10483,420,5,0.44466595970307526,0.017815482502651112
Bottom Non-Loyal,Best Customer,Multi Department,5773627,5385410,4875623197,1850688892,77908456,5920266,0.37957996695453,0.015979179040730124,13226647740,5459431420,169907854,5789961,0.4127600225936009,0.012845874278950141
Top Loyal,Holiday,Adult Beverage,2886790,2529406,52786217,24119703,841322,9683,0.45693183506596047,0.01593828934549335,280902310,145001035,19430343,78952,0.5161973748097692,0.06917117555921844
Moderate Non-Loyal,Weekly Specials,Fresh,1935536,1731495,4990322231,2121105897,173678541,1594602,0.4250438746868168,0.034803071417133104,1433734766,577218121,26565524,953038,0.4025975617585045,0.01852889713633407
New: Predicted Loyal,Services,Grocery,125320,116325,40870010,16358183,1110379,37505,0.40024905792780574,0.027168552197564914,42091318,19044342,1387502,19505,0.45245297379378807,0.03296409012423892
New: Predicted Loyal,Sale - Price & Item,Adult Beverage,29000,26747,780585,369008,19343,168,0.4727326300146685,0.02478013284908114,3464034,1689417,192211,1414,0.4877021992278367,0.055487619347847045
New: Predicted Opportunity,Sale - Fuel,Fresh,28781,27570,959759,426389,33547,786,0.44426673779563414,0.0349535664682488,172877,73321,3241,84,0.4241223528867345,0.018747433146109663
New: Predicted Loyal,Sale - Price & Item,Pharmacy,124363,115950,10916102,4961078,266243,4508,0.4544734008531617,0.024389933329681236,37144230,15574913,1183584,28117,0.4193090824604521,0.03186454531430588
New: Predicted Loyal,Ecommerce,Multi Department,138121,127228,102225421,39928243,2190194,102749,0.39059015467395336,0.021425140425687265,331673408,148815648,12339881,139496,0.4486812762511247,0.037204915143513706
Narrow Consumption,Diigital Coupons,Gift Cards,354336,314316,8089196,4711288,893420,4313,0.5824173378911822,0.11044608141526055,1981489,1073040,139402,236,0.5415321508219324,0.07035214427130304
Unreliable Pattern,Weekly Specials,Pharmacy,2865960,2596037,2401449404,973376362,64907324,723493,0.4053286987344748,0.02702839538983683,1817653221,678554861,35876009,1267245,0.3733137064652444,0.019737543215345807
Top Loyal,Seasonal,No Department,3357980,2817986,2655966114,1172064998,47129803,984002,0.4412951625481469,0.017744881138193617,3343558222,1503530851,133939201,893163,0.44967987729570336,0.040058881020436435
New: Predicted Opportunity,Digital Coupons,General Merchandise,99267,94241,56657460,28323826,1883020,28776,0.4999134447608488,0.03323516444259944,62080548,25609569,1041831,56545,0.41252163237992034,0.016781923381217576
New: Predicted Opportunity,Diigital Coupons,Gift Cards,1890,1764,43611,25414,4775,28,0.5827428859691363,0.10949072481713329,10146,5458,714,0,0.5379459885669229,0.0703725606150207
New: Predicted Loyal,Digital Coupons,Fresh,132587,123052,81029880,42554269,4465438,32469,0.5251676171802303,0.05510853527118638,67471525,27884161,1226689,39295,0.4132730214709094,0.01818083999138896
Narrow Consumption,Sale - Fuel,No Department,1344344,1198238,60843096,27412974,3855227,43263,0.4505519245766192,0.06336342581909375,24195412,10751264,755169,5667,0.44435135057836583,0.03121124781838805
Bottom Non-Loyal,Sale - Fuel,Grocery,4662002,4441016,204893762,81424380,3564399,212691,0.397398042796442,0.017396327566087638,48920274,21233433,491603,21638,0.43404157957087486,0.010049064729277682
Top Loyal,Savings - Fuel Points,Gift Cards,1558462,1324540,75197076,38237330,6739247,41973,0.5084949047752867,0.08962113101312609,16103198,7547885,702100,2160,0.46871962947980894,0.04360003522281723
Top Loyal,Ecommerce,Multi Department,3492273,2897558,2041671100,795733288,65911085,1674693,0.389746070265676,0.03228291030812945,17848845298,8939098968,1181023268,3656357,0.5008222559361666,0.06616804887273778
Top Loyal,Sale - Fuel,Fresh,2963607,2564401,135506691,63695395,9777142,86106,0.4700535045904117,0.0721524666261683,47406244,22218152,1225667,9189,0.468675645343259,0.02585454776801132
Top Loyal,Sale - Price & Item,Pharmacy,3332953,2816655,777647996,398174801,23106122,174247,0.5120244674301199,0.02971282909343471,1624414924,627858419,75052080,892935,0.38651357465612646,0.04620253045643651
New: Predicted Non-Loyal,Weekly Specials,Gift Cards,3758342,3620661,5781190121,2156297837,53187441,3459950,0.3729851106552114,0.009200085084003416,5566184473,2101551492,52992063,4585249,0.37755692471100033,0.0095203569441598
Bottom Non-Loyal,Services, Fresh,2967478,2793182,28457914,9815156,301698,10849,0.34490075414522653,0.010601550064421447,425110314,201036170,7327159,223986,0.4729035343988384,0.017235900326803173
New: Predicted Loyal,Sale - Price & Item,Gift Cards,126330,117664,27907262,12736318,683687,11884,0.45638006336845227,0.024498533750820842,111065377,49122094,3624962,81978,0.44228089191107683,0.032638092067161485
Top Loyal,Sale - Threshold Offer,General Merchandise,3388157,2847897,2511301957,1303104084,62435663,678522,0.5188958183095941,0.02486187008534235,1971174126,830451121,86915949,1352087,0.4212976976748324,0.044093491210933235
Moderate Non-Loyal,Savings - Fuel Points,Fresh,1590456,1457094,71737566,30547851,2891531,65368,0.42582781523421076,0.04030706868420933,24172772,10408097,429938,7791,0.43057109875524413,0.017786044562866022
New: Predicted Opportunity,Digital Coupons,Adult Beverage,35493,34035,1161265,604105,41204,312,0.5202128713084438,0.03548199592685563,4768885,2081956,85545,1757,0.43657081267424147,0.017938155354972913
Bottom Non-Loyal,Savings - Fuel Points,Grocery,4865792,4614354,220796127,83971687,3782219,232948,0.38031322442535415,0.017129915507983526,49728957,21498931,576482,23245,0.4323221780018431,0.011592481217733965
New: Predicted Non-Loyal,Sale - Threshold Offer,Fresh,2692778,2610544,738891932,262074033,7228387,714939,0.35468520043334295,0.009782739108322001,970123954,357336666,7907078,912399,0.36834124600947643,0.008150585260159446
Moderate Non-Loyal,Holiday,Gift Cards,1763390,1605697,610801311,248903530,5196215,198800,0.4075032674577871,0.008507209965697012,2619282973,1140070149,74289907,1393319,0.43526039788447096,0.02836268847840901
Moderate Loyal,Sale - Threshold Offer,Adult Beverage,2134153,1943379,72994980,40099091,1403852,14408,0.5493403929968883,0.01923217185620162,257714962,127210517,13741541,90832,0.4936093582335355,0.05332069544336351
Top Loyal,Sale - Fuel Points, Fresh,2743039,2389277,44333585,21537121,2225144,6655,0.48579696408490314,0.050190933126657816,430514050,216873646,29506955,162669,0.5037550946362842,0.0685388897296151
New: Predicted Non-Loyal,Brand Savings,Fuel,1003136,966171,21926422,8608666,265101,14738,0.392616086655634,0.012090481520423168,65272853,32279627,866130,40979,0.49453372292459774,0.013269375554949314
Narrow Consumption,Brand Savings,No Department,1494544,1311442,1280944415,468464566,39841900,766635,0.36571810651128056,0.031103535433268586,1297115851,567265815,44645959,372585,0.4373285659586007,0.0344194074612384
Moderate Non-Loyal,Brand Savings,No Department,1831302,1648405,1433141856,474060501,26637399,1193105,0.330784073478348,0.018586714838087878,1381886401,586668411,31835008,474664,0.42454170659430346,0.023037355297050935
New: Predicted Opportunity,Sale - Threshold Offer,Multi Department,101926,96396,75693406,29755814,914325,62346,0.39310972477576184,0.012079321678297842,234458183,101566840,5207102,115525,0.43319810253754293,0.022209086214747303
Narrow Consumption,Services,Multi Department,1574039,1370853,1024228029,360281192,29890116,860985,0.35175877031187947,0.029183067787339374,7884855195,3787906060,450824012,1979099,0.4804027425135231,0.05717594056589393
New: Predicted Non-Loyal,Savings - Fuel Points,Grocery,2028147,1977968,89073115,37704606,1139493,57751,0.4232995107446282,0.012792782648277205,8606089,3242313,93007,5626,0.37674639432615675,0.010807115752579366
Narrow Consumption,Brand Savings,Adult Beverage,1031266,928468,32854201,15430214,1456013,6856,0.46965725935626923,0.044317407079843454,134813947,74580962,9424047,46427,0.5532139935046928,0.06990409530847724
Bottom Non-Loyal,Sale - Prie,Grocery,3939673,3776972,72673968,31522999,1488263,44603,0.43375915568556817,0.020478625854033455,13893709,6449944,133464,4283,0.464234856221618,0.009606074231150228
Bottom Non-Loyal,Digital Coupons,Produce,5317926,5002558,203715066,100801250,3564435,105990,0.49481489994461186,0.017497159488439603,511461248,212323812,7035734,416022,0.4151317677150782,0.013756142870085046
New: Predicted Opportunity,Digital Coupons,Fresh,98093,93273,54434675,27340367,1855424,26769,0.5022601310653549,0.03408533255686747,49779383,19997246,648089,34421,0.4017174339023045,0.013019225248332227
New: Predicted Opportunity,Sale - Fuel,No Department,24959,23676,1006535,443392,32227,707,0.4405132459377965,0.03201776391282966,181129,79026,5560,78,0.43629678295579394,0.030696354531852987
New: Predicted Loyal,Diigital Coupons,General Merchandise,26217,24234,540052,249430,32917,189,0.46186293171768644,0.06095153800004444,117374,50096,2305,27,0.4268066181607511,0.01963807998364203
Moderate Non-Loyal,Digital Coupons,Fresh,1864033,1680188,2556656154,1394816606,113429443,786088,0.545562845366495,0.04436632701762992,1308503040,536051124,21699948,732000,0.4096674655031753,0.01658379639683527
Moderate Loyal,Savings - Fuel Points,Gift Cards,692548,614495,34078769,17448464,2732164,19544,0.5120039400484213,0.08017202734054156,5856303,2782634,246268,965,0.4751519858176737,0.04205178591339963
Top Loyal,Sale - Threshold Offer,Gift Cards,3262451,2770243,2036181443,1089475902,50723158,472258,0.5350583592368001,0.024910922439832884,4863595330,2149498043,220170626,2254467,0.4419565973635393,0.04526910876855374
Top Loyal,Sale - Digital Coupon,Multi Department,2961363,2568500,351752170,172972681,26517876,222885,0.49174588176669953,0.07538795283053976,1063192303,568321096,71892796,171342,0.5345421466994951,0.0676197483720873
New: Predicted Non-Loyal,Digital Coupons,General Merchandise,3562283,3439270,1943118284,846550835,25122578,1377350,0.4356661362155141,0.012929000878054627,2737961535,1049937534,24837866,2553757,0.38347417251060834,0.009071663601731351
Moderate Non-Loyal,Seasonal,Grocery,1860448,1680295,1523149900,619532341,15698686,686705,0.40674416943466957,0.010306724242965188,1170929576,516264937,27229204,622144,0.4409017822947193,0.023254348133401322
New: Predicted Non-Loyal,Sale - Fuel Points,Gift Cards,944607,915097,58778698,21125687,674343,29418,0.3594105980367241,0.011472574639200072,909781702,387452324,10094029,533161,0.42587394662725364,0.011095001117092152
Moderate Non-Loyal,Best Customer ,Gift Cards,330149,292915,8247936,4397899,505949,5000,0.5332120666309729,0.06134249829290625,1116716,554060,40444,215,0.49615121481200236,0.03621690743214927
New: Predicted Non-Loyal,Sale - Threshold Offer,General Merchandise,3334832,3230340,1177671691,415651801,10254788,1093971,0.3529436974468294,0.00870767980445579,1483803546,584801435,14209060,1564848,0.39412322242826076,0.00957610597326339
Moderate Non-Loyal,Sale - Price & Item, Fresh,1631168,1498665,48342289,23817080,910755,14765,0.492675884669011,0.018839716092053482,242673432,112658271,8379042,125406,0.4642381742060664,0.03452805661890503
New: Predicted Opportunity,Sale - Fuel Points,Pharmacy,38194,36190,2971621,1413726,110024,2345,0.4757423641843963,0.037024909973378164,9551453,4238930,258705,5703,0.44379949312423983,0.02708540784318365
Top Loyal,Holiday,Fuel,3119369,2676656,118101375,51217873,1818627,27245,0.4336771946981989,0.01539886389976408,258906806,100861996,14559327,138263,0.3895687315380964,0.0562338519598438
New: Predicted Loyal,Sale - Threshold Offer,General Merchandise,130904,121693,39701840,17889026,769146,23536,0.4505843054125451,0.01937305676512726,48669667,20439709,1416565,44979,0.41996812922512905,0.029105705613313524
Moderate Non-Loyal,Sale - Fuel,General Merchandise,1510985,1399030,54058130,25015884,2187683,45897,0.4627589596606468,0.040469083928726356,9547134,4305838,138396,3394,0.451008438762879,0.014496078090032045
Top Loyal,Brand Savings,Fresh,3270431,2766316,3821946780,1614330498,126954482,1190792,0.42238434780088696,0.03321722915252106,2623893485,1227761390,72919462,738946,0.4679158651137091,0.02779055720701254
New: Predicted Opportunity,Digital Coupons,Grocery,98508,93650,57912513,29226877,1908900,28342,0.5046729193050213,0.032961788413498824,50626610,20665793,818848,35284,0.4082002132870441,0.016174260927208042
Narrow Consumption,Best Customer ,HBC,1120518,1016124,26476661,12348966,1775107,19473,0.46640949174066926,0.06704421679153576,3909917,1847954,68708,954,0.472632539258506,0.017572751544342246
Bottom Non-Loyal,Seasonal,Pharmacy,5216057,4928848,1134822491,408371575,4709880,533997,0.35985502423391785,0.004150323101060217,3691302136,1335008053,40267303,2616124,0.36166317570705625,0.01090869875085186
Top Loyal,Ecommerce,Produce,2961570,2561515,36448246,17557984,750143,10512,0.4817237021501666,0.020581045244262235,307631158,159595730,21118523,123277,0.5187892248547854,0.06864884278074329
Moderate Loyal,Seasonal,Multi Department,2522077,2205785,2202123694,929181572,36565559,1084485,0.4219479471256259,0.016604679882255516,12620201526,6087059369,625141401,3041164,0.4823266376895414,0.04953497768732857
